Date,Holt_Winters_Forecast,SARIMA_Forecast,SARIMA_Lower_CI,SARIMA_Upper_CI
2025-04-01,84.63466691084162,85.8315126144058,75.62068748117753,96.04233774763406
2025-04-02,82.8127466610745,85.8745256156275,74.36516722318437,97.38388400807064
2025-04-03,82.47986841129757,85.61265719940585,73.57529798330717,97.65001641550452
2025-04-04,84.04730029642809,85.27794491983693,72.90180153485267,97.65408830482119
2025-04-05,86.09720745806788,85.36439614050047,72.7099915440166,98.01880073698435
2025-04-06,86.8043520723311,84.8408639680979,71.93151860689906,97.75020932929675
2025-04-07,86.32209686728751,84.97554455114684,71.82225466653759,98.12883443575609
2025-04-08,85.15571238888802,84.8123493603861,71.42170705896739,98.2029916618048
2025-04-09,87.04577276050314,84.67471862812614,71.05162560843546,98.29781164781683
2025-04-10,86.34217960820678,85.0193663639375,71.16799747362127,98.87073525425372
2025-04-11,85.71159393283695,85.23148812161396,71.15564328706222,99.30733295616571
2025-04-12,86.68280810998314,85.24083413075216,70.9440727126671,99.53759554883723
2025-04-13,86.97250476042846,85.18587667950995,70.66881871662459,99.7029346423953
2025-04-14,85.51487997346365,85.63447770827311,70.90172412248576,100.36723129406046
2025-04-15,85.65812722370411,85.52033917609873,70.57547317455254,100.46520517764492
2025-04-16,85.09930346320833,85.23943548346693,70.08559490241672,100.39327606451715
2025-04-17,85.85236613346467,85.34548574495312,69.98557425737634,100.7053972325299
2025-04-18,85.57320678413996,84.8290922547393,69.2658600393661,100.39232447011248
2025-04-19,86.9547043699665,84.96637300500319,69.20245010451134,100.73029590549504
2025-04-20,87.06525767959691,84.80412488953826,68.84203720795257,100.76621257112394
2025-04-21,85.74784106000314,84.66683911648356,68.50901784587816,100.82466038708895
2025-04-22,88.48366214912838,85.01161249896082,68.66040088349767,101.36282411442396
2025-04-23,88.42134634616997,85.22378002171449,68.68143889319519,101.76612115023379
2025-04-24,87.4313789056731,85.23314270015521,68.50185532752658,101.96443007278384
2025-04-25,87.43075617170221,85.17819132047815,68.25769768608876,102.09868495486754
2025-04-26,85.98290091086635,85.62679456072578,68.52031354667449,102.73327557477708
2025-04-27,86.54554788651147,85.51265683405433,68.22259577341642,102.80271789469224
2025-04-28,86.1958360292647,85.23175343481593,67.7601879169753,102.70331895265656
2025-04-29,87.30927024626745,85.33780380316668,67.68665304124482,102.98895456508853
2025-04-30,86.49297497908505,84.82141035187678,66.99250224972155,102.650318454032
2025-05-01,86.97107224163358,84.95869111631819,66.95378742116708,102.9635948114693
2025-05-02,87.1103552879876,84.79644300601723,66.61724996235412,102.97563604968033
2025-05-03,88.45429949637153,84.6591572348434,66.30733090960408,103.01098356008274
2025-05-04,86.12846810682603,85.00393061800575,66.48108020983071,103.5267810261808
2025-05-05,86.88723859570199,85.21609814100896,66.52378847493965,103.90840780707826
2025-05-06,86.30682435874664,85.2254608195406,66.36521446706058,104.08570717202062
2025-05-07,86.1939507649967,85.17050943989663,66.14169512002434,104.19932375976893
2025-05-08,86.01062568557454,85.61911268015633,66.42421829184633,104.81400706846634
2025-05-09,85.39280882349536,85.50497495348925,66.14578993655283,104.86415997042567
2025-05-10,86.68222482497595,85.22407155425246,65.70211031912322,104.7460327893817
2025-05-11,86.56785160500971,85.33012192260378,65.64677818299806,105.0134656622095
2025-05-12,87.45678156968789,84.81372847131409,64.97033189140986,104.65712505121833
2025-05-13,88.5818567433692,84.95100923575556,64.94884670244056,104.95317176907056
2025-05-14,89.03562063314475,84.78876112545464,64.62908519699093,104.94843705391835
2025-05-15,88.54726039407163,84.65147535428085,64.3355080365782,104.96744267198349
2025-05-16,88.47424867288822,84.9962487374432,64.52518353455295,105.46731394033344
2025-05-17,89.13331093855582,85.2084162604464,64.58341956593699,105.8334129549558
2025-05-18,88.8221667465794,85.21777893897804,64.43999115570216,105.99556672225393
2025-05-19,86.89735252112982,85.16282755933408,64.23143722399567,106.09421789467248
2025-05-20,87.36155773980865,85.61143079959376,64.52847783197635,106.69438376721118
2025-05-21,87.53327990779745,85.4972930729267,64.26419308912844,106.73039305672495
2025-05-22,87.34052708152623,85.21638967368989,63.834317822473345,106.59846152490644
2025-05-23,86.666856626761,85.32244004204122,63.7924707971439,106.85240928693855
2025-05-24,88.40393144275131,84.80604659075154,63.12920482578653,106.48288835571654
2025-05-25,88.99795627722806,84.94332735519302,63.12060726097252,106.76604744941352
2025-05-26,89.13809814961972,84.78107924489208,62.81345159129707,106.7487068984871
2025-05-27,89.40370939727646,84.64379347371829,62.532208636784475,106.7553783106521
2025-05-28,86.96082804629637,84.98856685688064,62.733956296292895,107.24317741746839
2025-05-29,88.52556856970531,85.20073437988384,62.80401153902503,107.59745722074265
2025-05-30,90.33315256595826,85.21009705841549,62.67215803943617,107.7480360773948
